toreorder,SubjectID,study,ageinmonths,ageinyears,gender,ChildRace_raw,ChildRace,placetested,ChildLang,childspeakers,MothersEdu,daycare/school,siblings,Network Size,NetworkRaceEntropy,RaceEIindex,RaceEIindex_detailedbiracial,LangEntropy_perlang,LangEntropy_percategory,LangEIIndex,NumKin,PropKin,NumAdults,PropAdult,NumChild (total - adult),PropChild,NumHighIntense,NumLowIntense,PropHighIntense,PropLowIntense,NumContexts,groupnodefordaycareteachers+kids,componentratio,Density,NeighorRaceDiv,zipcode,zipcode_og,city,county,suburban/urban,white_zipcode,black_zipcode,americanindian_zipcode,asian_zipcode,nativehawaiian_zipcode,hispanic_zipcode,some_other_race_zipcode,two_or_more_zipcode,NeighborLangDiv,percent_nonenglish,percent_englishonly,percent_spanish_speaking,percent_IndoEuropean_speaking,percent_AsianPacific_speaking,percent_otherlang_speaking,familycomp_raceentro,schoolcomp_raceentro,extra1comp_raceentro,extra2comp_raceentro,extra3comp_raceentro,extra4comp_raceentro,extra5comp_raceentro,median_income
1,ISEpilot1,ISEpilot,9.38,0.78,Male,black,African or African-American,lab,English,monolingual,Some college,no,sibling,7,0,-1,-1,0,0,-1,7,1.00,4,0.57,3,0.43,5,2,0.714285714,0.285714286,1,,0,NA,1.109715958,60637,60637,"Chicago, IL",Cook County,urban,0.145,0.758,0.004,0.045,0,0.028,0.003,0.035,0.671902084,0.102,0.898,0.026,0.03,0.033,0.013,NA,NA,NA,NA,NA,NA,NA,28965
2,ISEpilot10,ISEpilot,10.95,0.91,Male,black,African or African-American,lab,English,monolingual,Some college,no,sibling,5,0,-1,-1,0,0,-1,5,1.00,3,0.60,2,0.40,3,2,0.6,0.4,1,,0,NA,0.428952164,60628,60628,"Chicago, IL",Cook County,urban,0.019,0.932,0.001,0.002,0,0.034,0.004,0.016,0.343729623,0.049,0.951,0.035,0.008,0.002,0.004,NA,NA,NA,NA,NA,NA,NA,41169
3,ISEpilot11,ISEpilot,15.26,1.27,Female,black,African or African-American,lab,English,monolingual,High School Degree or GED,yes,only,6,0,-1,-1,0,0,-1,2,0.33,6,1.00,0,0.00,6,0,1,0,2,,0.2,NA,1.281780528,60617,60617,"Chicago, IL",Cook County,urban,0.063,0.554,0,0.002,0,0.377,0.001,0.007,1.12888665,0.352,0.648,0.32,0.02,0.002,0.01,NA,NA,NA,NA,NA,NA,NA,41125
4,ISEpilot12,ISEpilot,10.56,0.88,Male,white,European or White-American,lab,English,monolingual,Post-Graduate,yes,only,14,1.291691997,-0.428571429,-0.428571429,1.238901257,1.238901257,-0.230769231,3,0.21,10,0.71,4,0.29,3,11,0.214285714,0.785714286,3,,0.153846154,NA,0.558609433,60653,60653,"Chicago, IL",Cook County,urban,0.043,0.903,0.002,0.013,0,0.022,0.001,0.033,0.463608506,0.064,0.936,0.026,0.014,0.008,0.016,NA,NA,NA,NA,NA,NA,NA,31093
5,ISEpilot13,ISEpilot,14.64,1.22,Male,black,African or African-American,lab,English,monolingual,Some college,yes,sibling,9,0.503258335,-0.777777778,-0.777777778,0,0,-1,5,0.56,4,0.44,5,0.56,6,3,0.666666667,0.333333333,2,,0.125,NA,1.639794847,60609,60609,"Chicago, IL",Cook County,urban,0.149,0.243,0,0.063,0,0.534,0,0.021,1.361345831,0.536,0.464,0.466,0.013,0.054,0.003,NA,NA,NA,NA,NA,NA,NA,37353
6,ISEpilot14,ISEpilot,13.98,1.17,Male,white,European or White-American,lab,"English, Spanish ",multilingual,Bachelor,yes,only,5,0.721928095,-0.6,-0.6,1,1,-1,2,0.40,5,1.00,0,0.00,2,3,0.4,0.6,2,,0.25,NA,1.438420438,60647,60647,"Chicago, IL",Cook County,urban,0.443,0.054,0.001,0.03,0,0.448,0.001,0.045,1.199690563,0.375,0.625,0.333,0.026,0.01,0.006,NA,NA,NA,NA,NA,NA,NA,78413
7,ISEpilot15,ISEpilot,14.18,1.18,Male,white,European or White-American,lab,"English Danish, Spanish",multilingual,Post-Graduate,no,sibling,5,1.521928095,0.2,0.2,1.921928095,1.370950594,-1,3,0.60,4,0.80,1,0.20,4,1,0.8,0.2,2,,0.25,NA,1.586829898,60605,60605,"Chicago, IL",Cook County,urban,0.573,0.165,0.001,0.161,0,0.058,0.003,0.076,1.165396762,0.224,0.776,0.04,0.086,0.082,0.016,NA,NA,NA,NA,NA,NA,NA,111438
8,ISEpilot16,ISEpilot,11.22,0.93,Male,Hispanic or Latino,Hispanic or Latino-American,lab,"English, Spanish ",multilingual,9-12 grade no diploma,no,only,4,0,-1,-1,0.811278124,0.811278124,-1,4,1.00,4,1.00,0,0.00,2,2,0.5,0.5,1,,0,NA,0.447493869,60649,60649,"Chicago, IL",Cook County,urban,0.029,0.926,0.002,0.004,0,0.026,0.001,0.025,0.457078936,0.064,0.936,0.027,0.018,0.004,0.015,NA,NA,NA,NA,NA,NA,NA,31921
9,ISEpilot17,ISEpilot,13.88,1.16,Female,black,African or African-American,lab,English ,monolingual,Associates,no,sibling,4,0,-1,-1,0,0,-1,4,1.00,3,0.75,1,0.25,4,0,1,0,1,,0,NA,0.428952164,60628,60628,"Chicago, IL",Cook County,urban,0.019,0.932,0.001,0.002,0,0.034,0.004,0.016,0.343729623,0.049,0.951,0.035,0.008,0.002,0.004,NA,NA,NA,NA,NA,NA,NA,41169
10,ISEpilot18,ISEpilot,12.27,1.02,Female,white,European or White-American,lab,English ,monolingual,Bachelor,no,sibling,4,0,-1,-1,0,0.811278124,-1,4,1.00,2,0.50,2,0.50,4,0,1,0,1,,0,NA,1.580581388,60615,60615,"Chicago, IL",Cook County,urban,0.264,0.547,0.004,0.08,0,0.062,0.003,0.08,1.009013249,0.179,0.821,0.061,0.039,0.063,0.016,NA,NA,NA,NA,NA,NA,NA,45077
11,ISEpilot19,ISEpilot,13.13,1.09,Male,white,European or White-American,lab,English ,monolingual,Post-Graduate,no,sibling,5,0,-1,-1,0,0,-1,4,0.80,4,0.80,1,0.20,4,1,0.8,0.2,2,,0.25,NA,1.300536806,60651,60651,"Chicago, IL",Cook County,urban,0.041,0.512,0.001,0.005,0,0.425,0.006,0.019,1.057879121,0.381,0.619,0.368,0.008,0.003,0.002,NA,NA,NA,NA,NA,NA,NA,38955
12,ISEpilot2,ISEpilot,10.00,0.83,Female,white,European or White-American,lab,English ,monolingual,Bachelor,no,only,11,1.672933032,-0.272727273,-0.272727273,0.684038436,0.684038436,-0.636363636,2,0.18,10,0.91,1,0.09,2,9,0.181818182,0.818181818,2,,0.1,NA,1.33259607,60304,60304,"Oak Park, IL",Cook County,suburban/rural,0.665,0.147,0,0.042,0,0.096,0.002,0.096,0.752643092,0.125,0.875,0.06,0.035,0.025,0.005,NA,NA,NA,NA,NA,NA,NA,115374
